Délégation,Abandon primaire %,Abandon secondaire %,Abandon primaire et secondaire %,Taux de pauvreté,Gouvernorat
SEJOUMI,1.1,4.1,2.7,11.5,Tunis
JEBEL JLOUD,0.4,8.0,3.9,9.5,Tunis
SIDI HASSINE,0.3,8.4,3.6,9.4,Tunis
LA MEDINA,0.1,6.7,4.8,6.6,Tunis
EL OMRANE,0.3,6.7,3.3,6.3,Tunis
EL HARAIRIA,0.3,6.6,3.0,6.1,Tunis
KABBARIA,0.2,5.2,2.4,5.3,Tunis
BAB SOUIKA,0.2,12.1,6.2,4.5,Tunis
SIDI EL BECHIR,0.1,8.4,4.3,4.2,Tunis
EZZOUHOUR,0.1,9.3,3.5,4.0,Tunis
EL OUERDIA,0.1,6.8,3.4,3.9,Tunis
EL OMRANE SUPERIEUR,0.1,6.5,3.2,3.5,Tunis
EL KRAM,0.1,3.8,1.7,3.0,Tunis
EL MARSA,0.2,6.7,3.4,2.2,Tunis
ETTAHRIR,0.0,7.4,3.7,2.0,Tunis
BARDO,0.1,5.3,3.2,1.8,Tunis
BAB BHAR,0.1,4.5,2.8,1.6,Tunis
CARTHAGE,0.0,6.5,3.6,1.6,Tunis
CITE EL KHADRA,0.1,4.1,1.7,1.4,Tunis
LA GOULETTE,0.1,7.1,4.4,1.1,Tunis
EL MENZAH,0.0,1.7,1.1,0.2,Tunis
KALAAT EL ANDALOUS,0.4,8.3,3.8,12.5,Ariana
ETTADHAMEN,0.1,8.2,3.5,12.4,Ariana
SIDI THABET,0.3,6.4,2.8,9.1,Ariana
MNIHLA,0.1,8.9,3.9,8.8,Ariana
RAOUED,0.1,5.9,2.6,6.9,Ariana
SOUKRA,0.2,7.7,3.0,4.8,Ariana
ARIANA Ville,0.1,3.9,2.6,1.3,Ariana
MORNAG,0.2,7.0,3.1,11.2,Ben Arous
FOUCHANA,0.1,5.6,2.4,7.3,Ben Arous
MHAMDIA,0.2,10.6,4.6,7.1,Ben Arous
HAMMAMLIF,0.2,7.1,4.0,6.4,Ben Arous
NOUVELLE MEDINA,0.1,5.1,2.3,5.2,Ben Arous
BEN AROUS,0.1,4.8,2.3,5.0,Ben Arous
HAMMAM ECHATT,0.2,7.5,3.7,5.0,Ben Arous
RADES,0.3,7.7,4.1,4.3,Ben Arous
BOUMHEL BASSATINE,0.1,4.2,1.8,4.1,Ben Arous
MEGRINE,0.1,4.3,2.5,3.6,Ben Arous
EL MOUROUJ,0.0,5.4,2.9,3.2,Ben Arous
EZZAHRA,0.1,8.0,4.3,2.6,Ben Arous
TEBOURBA,0.2,8.8,4.5,15.2,Manouba
BATTANE,0.2,4.1,1.8,14.5,Manouba
